ID;Id_Type;Id_Parent;hierarchy;topic_fr;topic_en;definition_fr;definition_en;Reference;available_EAU;available_Morocco
59;65346788;2;001.028.001;Cormophyta;Cormophyta;Cormophyta;Cormophyta;NULL;0;1
60;65346788;59;001.028.001.001;Acanthaceae;Acanthaceae;Acanthaceae;Acanthaceae;NULL;0;1
61;65346788;60;001.028.001.001.001;Acanthus L.;Acanthus L.;Acanthus L.;Acanthus L.;NULL;0;1
62;65346788;61;001.028.001.001.001.001;Acanthus mollis L.;Acanthus mollis L.;Acanthus mollis L.;Acanthus mollis L.;NULL;0;1
63;65346788;62;001.028.001.001.001.001.001;Acanthus mollis L. subsp. mollis;Acanthus mollis L. subsp. mollis;Acanthus mollis L. subsp. mollis;Acanthus mollis L. subsp. mollis;NULL;0;1
64;65346788;62;001.028.001.001.001.001.002;Acanthus mollis L. subsp. platyphyllus Murb.;Acanthus mollis L. subsp. platyphyllus Murb.;Acanthus mollis L. subsp. platyphyllus Murb.;Acanthus mollis L. subsp. platyphyllus Murb.;NULL;0;1
65;65346788;61;001.028.001.001.001.002;Acanthus spinosus L.;Acanthus spinosus L.;Acanthus spinosus L.;Acanthus spinosus L.;NULL;0;1
66;65346788;60;001.028.001.001.002;Asystasia Blume;Asystasia Blume;Asystasia Blume;Asystasia Blume;NULL;0;1
67;65346788;66;001.028.001.001.002.001;Asystasia gangetica (L.) T.Anderson;Asystasia gangetica (L.) T.Anderson;Asystasia gangetica (L.) T.Anderson;Asystasia gangetica (L.) T.Anderson;NULL;0;1
68;65346788;60;001.028.001.001.003;Barleria L.;Barleria L.;Barleria L.;Barleria L.;NULL;0;1
69;65346788;68;001.028.001.001.003.001;Barleria acanthoides Vahl;Barleria acanthoides Vahl;Barleria acanthoides Vahl;Barleria acanthoides Vahl;NULL;0;1
70;65346788;68;001.028.001.001.003.002;Barleria hochstetteri Nees ex DC.;Barleria hochstetteri Nees ex DC.;Barleria hochstetteri Nees ex DC.;Barleria hochstetteri Nees ex DC.;NULL;0;1
71;65346788;68;001.028.001.001.003.003;Barleria lanceata (Forssk.) C.Chr.;Barleria lanceata (Forssk.) C.Chr.;Barleria lanceata (Forssk.) C.Chr.;Barleria lanceata (Forssk.) C.Chr.;NULL;0;1
72;65346788;68;001.028.001.001.003.004;Barleria lancifolia T.Anderson;Barleria lancifolia T.Anderson;Barleria lancifolia T.Anderson;Barleria lancifolia T.Anderson;NULL;0;1
73;65346788;72;001.028.001.001.003.004.001;Barleria lancifolia T.Anderson subsp. charlesii (Benoist) J.-P.Lebrun & Monod;Barleria lancifolia T.Anderson subsp. charlesii (Benoist) J.-P.Lebrun & Monod;Barleria lancifolia T.Anderson subsp. charlesii (Benoist) J.-P.Lebrun & Monod;Barleria lancifolia T.Anderson subsp. charlesii (Benoist) J.-P.Lebrun & Monod;NULL;0;1
74;65346788;68;001.028.001.001.003.005;Barleria schmittii Benoist;Barleria schmittii Benoist;Barleria schmittii Benoist;Barleria schmittii Benoist;NULL;0;1
75;65346788;60;001.028.001.001.004;Blepharis Juss.;Blepharis Juss.;Blepharis Juss.;Blepharis Juss.;NULL;0;1
76;65346788;75;001.028.001.001.004.001;Blepharis attenuata Napper;Blepharis attenuata Napper;Blepharis attenuata Napper;Blepharis attenuata Napper;NULL;0;1
77;65346788;75;001.028.001.001.004.002;Blepharis ciliaris (L.) B.L.Burtt;Blepharis ciliaris (L.) B.L.Burtt;Blepharis ciliaris (L.) B.L.Burtt;Blepharis ciliaris (L.) B.L.Burtt;NULL;0;1
78;65346788;75;001.028.001.001.004.003;Blepharis edulis Pers.;Blepharis edulis Pers.;Blepharis edulis Pers.;Blepharis edulis Pers.;NULL;0;1
79;65346788;75;001.028.001.001.004.004;Blepharis linariifolia Pers.;Blepharis linariifolia Pers.;Blepharis linariifolia Pers.;Blepharis linariifolia Pers.;NULL;0;1
80;65346788;75;001.028.001.001.004.005;Blepharis maderaspatensis (L.) B.Heyne ex Roth;Blepharis maderaspatensis (L.) B.Heyne ex Roth;Blepharis maderaspatensis (L.) B.Heyne ex Roth;Blepharis maderaspatensis (L.) B.Heyne ex Roth;NULL;0;1
81;65346788;80;001.028.001.001.004.005.001;Blepharis maderaspatensis (L.) B.Heyne ex Roth subsp. rubiifolia (Schumach.) Napper;Blepharis maderaspatensis (L.) B.Heyne ex Roth subsp. rubiifolia (Schumach.) Napper;Blepharis maderaspatensis (L.) B.Heyne ex Roth subsp. rubiifolia (Schumach.) Napper;Blepharis maderaspatensis (L.) B.Heyne ex Roth subsp. rubiifolia (Schumach.) Napper;NULL;0;1
82;65346788;60;001.028.001.001.005;Dicliptera Juss.;Dicliptera Juss.;Dicliptera Juss.;Dicliptera Juss.;NULL;0;1
83;65346788;82;001.028.001.001.005.001;Dicliptera paniculata (Forssk.) I.Darbysh.;Dicliptera paniculata (Forssk.) I.Darbysh.;Dicliptera paniculata (Forssk.) I.Darbysh.;Dicliptera paniculata (Forssk.) I.Darbysh.;NULL;0;1
84;65346788;60;001.028.001.001.006;Ecbolium Kurz;Ecbolium Kurz;Ecbolium Kurz;Ecbolium Kurz;NULL;0;1
85;65346788;84;001.028.001.001.006.001;Ecbolium viride (Forssk.) Alston;Ecbolium viride (Forssk.) Alston;Ecbolium viride (Forssk.) Alston;Ecbolium viride (Forssk.) Alston;NULL;0;1
86;65346788;60;001.028.001.001.007;Justicia L.;Justicia L.;Justicia L.;Justicia L.;NULL;0;1
87;65346788;86;001.028.001.001.007.001;Justicia heterocarpa T.Anderson;Justicia heterocarpa T.Anderson;Justicia heterocarpa T.Anderson;Justicia heterocarpa T.Anderson;NULL;0;1
88;65346788;86;001.028.001.001.007.002;Justicia hyssopifolia L.;Justicia hyssopifolia L.;Justicia hyssopifolia L.;Justicia hyssopifolia L.;NULL;0;1
89;65346788;86;001.028.001.001.007.003;Justicia ladanoides Lam.;Justicia ladanoides Lam.;Justicia ladanoides Lam.;Justicia ladanoides Lam.;NULL;0;1
90;65346788;60;001.028.001.001.008;Ruellia L.;Ruellia L.;Ruellia L.;Ruellia L.;NULL;0;1
91;65346788;90;001.028.001.001.008.001;Ruellia patula Jacq.;Ruellia patula Jacq.;Ruellia patula Jacq.;Ruellia patula Jacq.;NULL;0;1
92;65346788;59;001.028.001.002;Aceraceae;Aceraceae;Aceraceae;Aceraceae;NULL;0;1
93;65346788;92;001.028.001.002.001;Acer L.;Acer L.;Acer L.;Acer L.;NULL;0;1
94;65346788;93;001.028.001.002.001.001;Acer campestre L.;Acer campestre L.;Acer campestre L.;Acer campestre L.;NULL;0;1
95;65346788;93;001.028.001.002.001.002;Acer granatense Boiss.;Acer granatense Boiss.;Acer granatense Boiss.;Acer granatense Boiss.;NULL;0;1
96;65346788;95;001.028.001.002.001.002.001;Acer granatense Boiss. subsp. xauense (Pau & Font Quer) Dobignard;Acer granatense Boiss. subsp. xauense (Pau & Font Quer) Dobignard;Acer granatense Boiss. subsp. xauense (Pau & Font Quer) Dobignard;Acer granatense Boiss. subsp. xauense (Pau & Font Quer) Dobignard;NULL;0;1
97;65346788;93;001.028.001.002.001.003;Acer monspessulanum L.;Acer monspessulanum L.;Acer monspessulanum L.;Acer monspessulanum L.;NULL;0;1
15857;1139238005;15567;001.053.003.012;Gruiformes;Gruiforms;Gruiformes;Gruiformes;;0;1
15884;1139238005;15857;001.053.003.012.004;Otididés;Otididae;Otididae;Otididae;;0;1
15885;1139238005;15884;001.053.003.012.004.001;Outarde (Tetrax);Bustard (Tetrax);Tetrax;Tetrax;;0;1
15886;1139238005;15885;001.053.003.012.004.001.001;Outarde canepetière;Little Bustard;Tetrax tetrax;Tetrax tetrax;;0;1
15887;1139238005;15884;001.053.003.012.004.002;Outarde (Chlamydotis);Bustard (Chlamydotis);Chlamydotis;Chlamydotis;;0;1
15888;1139238005;15887;001.053.003.012.004.002.001;Outarde houbara;Houbara Bustard;Chlamydotis undulata;Chlamydotis undulata;;0;1
15889;1139238005;15888;001.053.003.012.004.002.001.001;Outarde houbara nord-africaine;North African Houbara Bustard;Chlamydotis undulata undulata;Chlamydotis undulata undulata;;0;1
15890;1139238005;15888;001.053.003.012.004.002.001.002;Outarde houbara des Canaries;Canarian Houbara Bustard;Chlamydotis undulata fuerteventurae;Chlamydotis undulata fuerteventurae;;0;1
15891;1139238005;15887;001.053.003.012.004.002.002;Outarde houbara asiatique;Asian Houbara Bustard;Chlamydotis macqueenii;Chlamydotis macqueenii;;0;1
15892;1139238005;15884;001.053.003.012.004.003;Outarde (Ardeotis);Bustard (Ardeotis);Ardeotis;Ardeotis;;0;1
15893;1139238005;15892;001.053.003.012.004.003.001;Outarde arabe;Arabian Bustard;Ardeotis arabs;Ardeotis arabs;;0;1
15894;1139238005;15884;001.053.003.012.004.004;Outarde (Otis);Bustard (Otis);Otis;Otis;;0;1
15895;1139238005;15894;001.053.003.012.004.004.001;Outarde barbue;Great Bustard;Otis tarda;Otis tarda;;0;1